code,level_1,log_return,code_str,行业
2352,年化收益率,0.0071,2352,物流
2352,年化波动率,0.3218,2352,物流
2352,偏度,0.3819,2352,物流
2352,峰度,3.6328,2352,物流
2352,最大回撤,-0.7567,2352,物流
600036,年化收益率,0.038,600036,银行
600036,年化波动率,0.2753,600036,银行
600036,偏度,0.2697,600036,银行
600036,峰度,3.222,600036,银行
600036,最大回撤,-0.5464,600036,银行
600104,年化收益率,-0.0798,600104,汽车
600104,年化波动率,0.3148,600104,汽车
600104,偏度,0.3482,600104,汽车
600104,峰度,5.3663,600104,汽车
600104,最大回撤,-0.6099,600104,汽车
600660,年化收益率,0.1619,600660,汽车制造
600660,年化波动率,0.3287,600660,汽车制造
600660,偏度,0.5573,600660,汽车制造
600660,峰度,3.1205,600660,汽车制造
600660,最大回撤,-0.5657,600660,汽车制造
600900,年化收益率,0.094,600900,电力
600900,年化波动率,0.1774,600900,电力
600900,偏度,0.3689,600900,电力
600900,峰度,3.572,600900,电力
600900,最大回撤,-0.1791,600900,电力
600941,年化收益率,0.1683,600941,通信
600941,年化波动率,0.2494,600941,通信
600941,偏度,0.602,600941,通信
600941,峰度,4.9824,600941,通信
600941,最大回撤,-0.196,600941,通信
601006,年化收益率,-0.0026,601006,交通运输
601006,年化波动率,0.158,601006,交通运输
601006,偏度,-0.416,601006,交通运输
601006,峰度,6.8138,601006,交通运输
601006,最大回撤,-0.3034,601006,交通运输
601088,年化收益率,0.2222,601088,能源
601088,年化波动率,0.2983,601088,能源
601088,偏度,0.315,601088,能源
601088,峰度,3.2854,601088,能源
601088,最大回撤,-0.2353,601088,能源
601398,年化收益率,0.0888,601398,银行
601398,年化波动率,0.1623,601398,银行
601398,偏度,0.4514,601398,银行
601398,峰度,5.7718,601398,银行
601398,最大回撤,-0.224,601398,银行
601728,年化收益率,0.0508,601728,通信
601728,年化波动率,0.2802,601728,通信
601728,偏度,0.3339,601728,通信
601728,峰度,7.9831,601728,通信
601728,最大回撤,-0.3308,601728,通信
